payment_id,order_id,amount_usd,status,ts
pay_0a91e7a2b82e4d3f,,221.57,FAILED,2026-01-18T17:24:46Z
pay_bebbb76170f14984,ord_1739a9daa0744a5d,124.69,FAILED,2026-02-14T07:41:13Z
pay_057522487cc84d01,ord_6cba468189204c7e,197.77,SUCCESS,2026-02-08T03:14:56Z
pay_f4031b1b23ec46c5,ord_30c83a260f034a56,70.6,FAILED,2026-01-29T12:44:59Z
pay_6d72567bf36740f9,ord_856dc4c31c6248ef,180.58,SUCCESS,2026-01-20T01:17:17Z
pay_f22ea046b12e49f4,ord_2500d6b9215846c6,184.96,SUCCESS,2026-02-06T09:45:08Z
pay_d6038bb7566341c7,,125.02,FAILED,2026-01-23T14:22:37Z
pay_4291e3161d4b4f16,ord_af814831d3b544f2,135.83,SUCCESS,2026-02-09T22:52:15Z
pay_e9da199e91c44aaf,ord_dcbabf6c10d549d5,103.03,SUCCESS,2026-02-02T00:56:28Z
pay_3439e93e0b6f4506,ord_b63d61dd97ca41c2,188.15,SUCCESS,2026-02-02T06:31:21Z
pay_4bad09e054db4425,ord_7cb195d58b6e4c39,113.88,SUCCESS,2026-01-21T08:55:01Z
pay_85566cdfcbbd4d51,ord_8aa66650e42b4d55,81.55,PENDING,2026-01-23T22:17:37Z
pay_5271e8a4350a495a,ord_c1be3fd56e8e4f83,108.18,SUCCESS,2026-01-30T08:36:36Z
pay_3dc3961509aa46f4,ord_dc30d9b66785421e,128.45,SUCCESS,2026-01-21T01:27:41Z
pay_eb930cc4ead54982,ord_91dbdc398bac492d,241.24,SUCCESS,2026-02-11T05:31:33Z
pay_c2462f74e8ca4232,ord_6825ad86402b45c7,20.68,FAILED,2026-02-06T19:21:44Z
pay_6a75a942e2fe48dc,ord_95b6f5e13ea84983,92.91,SUCCESS,2026-02-12T00:28:22Z
pay_d75bd8e0e8bd4be6,ord_baaddc24eae34e5d,216.1,SUCCESS,2026-01-25T19:21:21Z
pay_ce2fe85354124f95,ord_ec7020bc1abc4ab7,245.57,SUCCESS,2026-02-05T09:54:50Z
pay_05eb4b1910a0406e,,274.63,SUCCESS,2026-01-20T23:22:00Z
pay_de7ba57db59a40ac,,140.69,SUCCESS,2026-01-29T04:07:01Z
pay_1f8f338eeaa94b36,ord_9c9c35e10d7f4a72,228.3,SUCCESS,2026-01-30T21:00:34Z
pay_cb83c7e7ef2b4264,ord_eaa1faeaae9c4d8c,136.75,FAILED,2026-02-10T10:25:13Z
pay_458f6fc6eae74c17,ord_5bcb3fc6f9604fcf,117.66,FAILED,2026-02-05T11:56:58Z
pay_901547c503d44666,ord_6ac99c1196704f0e,73.48,SUCCESS,2026-01-30T01:07:34Z
pay_01f892838a9441b2,ord_83977c4b33434f0c,23.38,FAILED,2026-01-20T06:05:05Z
pay_b774ddd6a70042bc,ord_a0fd0c2669664afc,79.08,SUCCESS,2026-01-25T09:06:33Z
pay_f5b7243dc72b44b0,ord_82d83539ebb24259,262.16,SUCCESS,2026-01-25T17:23:05Z
